2023-08-06 06:22:28.924 UTC,,,1,,64cf3c24.1,1,,2023-08-06 06:22:28 UTC,,0,LOG,00000,"ending log output to stderr",,"Future log output will go to log destination ""csvlog"".",,,,,,,"","postmaster",,0
2023-08-06 06:22:28.924 UTC,,,1,,64cf3c24.1,2,,2023-08-06 06:22:28 UTC,,0,LOG,00000,"starting PostgreSQL 15.2 (Debian 15.2-1.pgdg110+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 10.2.1-6) 10.2.1 20210110, 64-bit",,,,,,,,,"","postmaster",,0
2023-08-06 06:22:28.925 UTC,,,1,,64cf3c24.1,3,,2023-08-06 06:22:28 UTC,,0,LOG,00000,"listening on IPv4 address ""0.0.0.0"", port 5455",,,,,,,,,"","postmaster",,0
2023-08-06 06:22:28.925 UTC,,,1,,64cf3c24.1,4,,2023-08-06 06:22:28 UTC,,0,LOG,00000,"listening on IPv6 address ""::"", port 5455",,,,,,,,,"","postmaster",,0
2023-08-06 06:22:28.925 UTC,,,1,,64cf3c24.1,5,,2023-08-06 06:22:28 UTC,,0,LOG,00000,"listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5455""",,,,,,,,,"","postmaster",,0
2023-08-06 06:22:28.928 UTC,,,29,,64cf3c24.1d,1,,2023-08-06 06:22:28 UTC,,0,LOG,00000,"database system was shut down at 2023-08-06 06:19:43 UTC",,,,,,,,,"","startup",,0
2023-08-06 06:22:28.938 UTC,,,1,,64cf3c24.1,6,,2023-08-06 06:22:28 UTC,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,"","postmaster",,0
2023-08-06 06:22:30.613 UTC,,,33,"172.18.0.3:36742",64cf3c26.21,1,"",2023-08-06 06:22:30 UTC,,0,LOG,00000,"connection received: host=172.18.0.3 port=36742",,,,,,,,,"","not initialized",,0
2023-08-06 06:22:30.617 UTC,"postgres","postgres",33,"172.18.0.3:36742",64cf3c26.21,2,"authentication",2023-08-06 06:22:30 UTC,3/1,0,LOG,00000,"connection authorized: user=postgres database=postgres",,,,,,,,,"","client backend",,0
2023-08-06 06:27:29.027 UTC,,,27,,64cf3c24.1b,1,,2023-08-06 06:22:28 UTC,,0,LOG,00000,"checkpoint starting: time",,,,,,,,,"","checkpointer",,0
2023-08-06 06:27:29.029 UTC,,,27,,64cf3c24.1b,2,,2023-08-06 06:22:28 UTC,,0,LOG,00000,"checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.003 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB",,,,,,,,,"","checkpointer",,0
